SMILES,Drug_Name
Cc1ccc(NC(=O)CCCCCC(=O)Nc2ccccc2N)cc1,TC-H-106
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,entinostat
Nc1ccccc1NC(=O)CCCCCCC(=O)Nc2ccccc2,BML-210
Cc1ccc(cc1)C(=O)NCCCCCC(=O)Nc1ccccc1N,RG2833
CN1c2ccccc2C(NCCCCCCC(=O)Nc2ccccc2N)c2ccc(Cl)cc2S1(=O)=O,Tianeptinaline
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)CC2CCCCC2)Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C1=O,CHEMBL2356076
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CCCCC2)Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C1=O,CHEMBL2130971
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)c3ccccc3)Oc4c(NC(=O)CCCCCC(=O)Nc5ccccc5N)cccc4C1=O,CHEMBL2135159
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4c(NC(=O)C5CCCCC5)cccc4C1=O,CHEBI:94854
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4c(NC(=O)C5CCCCC5)cccc4C1=O,CHEMBL2357745
C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4c(NC(=O)C5CCCCC5)cccc4C1=O,CHEBI:94920
C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4c(NC(=O)C5CCCCC5)cccc4C1=O,CHEBI:94947
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4c(NC(=O)C5CCCCC5)cccc4C1=O,MLS002473918
